Column 1,Word,Count,Type,Overlap
2190,85,32,trump,
4741,genius,32,trump,
2091,JOBS,32,trump,
5771,became,32,trump,
4031,strongly,32,trump,
4183,negotiating,32,trump,
617,ClientThe,32,trump,
2358,Schneiderman,32,trump,
7350,TrumpSoHo,32,trump,
5182,730,32,trump,
5471,Being,32,trump,
3217,lowest,32,trump,
10503,Saudi,32,trump,
5698,destroyed,32,trump,
1533,Oscars,32,trump,
5796,returns,32,trump,
4605,angry,32,trump,
5692,remain,32,trump,
2113,Afghanistan,32,trump,
1911,debates,32,trump,
7744,Oval,32,trump,
3675,immigrants,32,trump,
781,GDP,31,trump,
7830,shooting,31,trump,
1975,Total,31,trump,
5739,Council,31,trump,
3086,CPAC,31,trump,
2659,vacation,31,trump,
2759,AGSchneiderman,31,trump,
3039,Ford,31,trump,
1014,cutting,31,trump,
5322,officials,31,trump,
5324,AnnCoulter,31,trump,
5068,evidence,31,trump,
5787,Rico,31,trump,
1731,TrumpScotland,31,trump,
6849,WWE,31,trump,
1437,gotten,31,trump,
5927,Rove,31,trump,
4392,uc0u55356,31,trump,
3925,rid,31,trump,
2115,Looks,31,trump,
3279,lied,31,trump,
2054,FEMA,31,trump,
1288,Colorado,31,trump,
2479,TrumpForPresident,31,trump,
2445,Russians,31,trump,
7502,firing,31,trump,
2165,emails,31,trump,
2938,closely,31,trump,
2531,push,31,trump,
5211,greater,31,trump,
261,predicted,31,trump,
4428,Angry,31,trump,
2387,CNBC,30,trump,
1560,Sir,30,trump,
3887,throughout,30,trump,
8751,majority,30,trump,
906,champion,30,trump,
1896,Egypt,30,trump,
8087,Elizabeth,30,trump,
2453,FIRST,30,trump,
3984,Forbes,30,trump,
2978,common,30,trump,
1025,speeches,30,trump,
1332,Point,30,trump,
13248,becoming,30,trump,
790,Crazy,30,trump,
4171,amnesty,30,trump,
5218,convention,30,trump,
11338,Sadly,30,trump,
3160,rated,30,trump,
6218,excellent,30,trump,
2239,excuse,30,trump,
9242,TRUE,30,trump,
3220,EVER,30,trump,
5645,reporter,30,trump,
6112,Committee,30,trump,
2584,scandal,30,trump,
6092,nflcommish,30,trump,
5301,COUNTRY,30,trump,
1941,pouring,30,trump,
1102,Paris,30,trump,
5845,reporters,30,trump,
543,BretBaier,30,trump,
4917,quit,30,trump,
4928,Atlantic,30,trump,
2253,wasted,30,trump,
3639,promised,30,trump,
4156,Scavino45,30,trump,
1536,seriously,30,trump,
8587,Any,30,trump,
2783,Chinas,30,trump,
5135,fool,30,trump,
3716,Everybody,29,trump,
1832,Loved,29,trump,
1963,attacks,29,trump,
5456,entrepreneur,29,trump,
1836,spirit,29,trump,
8757,AndroidI,29,trump,
5723,Jon,29,trump,
2551,decisions,29,trump,
4657,ugly,29,trump,
7150,negotiate,29,trump,
1502,Monster,29,trump,
2112,wasting,29,trump,
8801,responsible,29,trump,
1420,Weiner,29,trump,
5667,Libya,29,trump,
7782,terror,29,trump,
4236,Mexican,29,trump,
3554,attacking,29,trump,
811,u56826,29,trump,
5848,credibility,29,trump,
7090,opponent,29,trump,
3822,Learn,29,trump,
5144,proven,29,trump,
9275,simply,29,trump,
3035,reports,29,trump,
5396,certain,29,trump,
1291,Tickets,29,trump,
9040,JoanRivers,29,trump,
2866,keeps,29,trump,
4078,recent,29,trump,
1310,husband,29,trump,
8381,poorly,29,trump,
3443,led,29,trump,
1173,Rick,29,trump,
3204,Leadership,29,trump,
1238,Europe,29,trump,
3259,beyond,29,trump,
4963,Little,29,trump,
1335,impact,29,trump,
10504,Arabia,29,trump,
4068,endorsed,29,trump,
5089,campaigning,28,trump,
1964,CIA,28,trump,
1002,hotels,28,trump,
2579,promise,28,trump,
4388,FoxBusiness,28,trump,
9082,Know,28,trump,
1218,Change,28,trump,
508,cares,28,trump,
3714,soldiers,28,trump,
1038,weapons,28,trump,
2361,negotiations,28,trump,
3625,mine,28,trump,
4072,Jim,28,trump,
2353,ImWithYou,28,trump,
9937,professional,28,trump,
9009,Brian,28,trump,
4032,pressure,28,trump,
2897,REAL,28,trump,
8163,Hoax,28,trump,
2082,concerned,28,trump,
5013,investment,28,trump,
7767,born,28,trump,
3530,Tennessee,28,trump,
8137,BigLeagueTruth,28,trump,
3431,rules,28,trump,
6976,Boston,28,trump,
5298,Under,28,trump,
871,intelligence,28,trump,
4105,blame,28,trump,
6324,desperately,28,trump,
3478,approved,28,trump,
250,rebuild,28,trump,
2183,liberal,28,trump,
2550,VanityFair,28,trump,
2528,Actually,28,trump,
6215,Bless,28,trump,
5499,lying,28,trump,
3570,deficit,28,trump,
4611,Despite,28,trump,
2366,Course,28,trump,
222,Economy,28,trump,
3547,tedcruz,28,trump,
8813,Chairman,28,trump,
143,address,28,trump,
7763,resort,28,trump,
491,Billionaire,27,trump,
14559,prior,27,trump,
2208,Terrible,27,trump,
8141,Intelligence,27,trump,
7092,Matt,27,trump,
8471,hasnt,27,trump,
1645,Police,27,trump,
5448,buying,27,trump,
1128,politically,27,trump,
7472,countrys,27,trump,
8253,puts,27,trump,
6657,manufacturing,27,trump,
7569,Second,27,trump,
1110,Keystone,27,trump,
2515,destroying,27,trump,
6058,int,27,trump,
4820,Need,27,trump,
5340,marklevinshow,27,trump,
2864,Freedom,27,trump,
2822,TrumpNewYork,27,trump,
621,construction,27,trump,
2592,businesses,27,trump,
3807,Wednesday,27,trump,
3758,MittRomneys,27,trump,
5327,criminal,27,trump,
1466,Negotiation,27,trump,
5738,Presidents,27,trump,
1415,vets,27,trump,
8759,Wallace,27,trump,
1608,momentum,27,trump,
2966,Order,27,trump,
4141,refuses,27,trump,
3042,events,27,trump,
7300,CrookedHillary,27,trump,
3954,Henry,27,trump,
843,Director,27,trump,
8304,hundreds,27,trump,
6216,yours,27,trump,
6523,solve,27,trump,
3092,MELANIATRUMP,27,trump,
5724,Stewart,27,trump,
4696,900,27,trump,
6180,knowledge,27,trump,
6850,Fame,27,trump,
762,Germany,27,trump,
5826,stopped,27,trump,
455,unless,27,trump,
4340,FITN,27,trump,
1092,Churchill,27,trump,
4333,fortune,27,trump,
3849,Hurricane,27,trump,
5537,socalled,27,trump,
9407,garbage,27,trump,
2441,disgusting,27,trump,
1049,increased,27,trump,
6838,Central,27,trump,
9406,usual,27,trump,
7853,rigged,27,trump,
5212,Shutdown,26,trump,
4186,mikepence,26,trump,
4387,LouDobbs,26,trump,
3982,restaurant,26,trump,
10130,contract,26,trump,
2187,Omarosa,26,trump,
3213,Memorial,26,trump,
5675,recently,26,trump,
1602,AmSpec,26,trump,
298,overrated,26,trump,
9277,Einstein,26,trump,
356,ineffective,26,trump,
2348,Snowden,26,trump,
8719,911,26,trump,
7236,anywhere,26,trump,
6615,farmers,26,trump,
123,Journal,26,trump,
5097,Billions,26,trump,
5926,Karl,26,trump,
3869,Hispanic,26,trump,
4172,guest,26,trump,
1637,winners,26,trump,
