,Word,RelativeProb
346,wants,0.00011788097165355569
347,FAKE,0.00011788097165355567
348,security,0.00011788097165355567
349,results,0.00011630922536484162
350,supporters,0.00011630922536484162
351,greta,0.00011630922536484162
352,terrific,0.0001163092253648416
353,prices,0.0001163092253648416
354,released,0.00011630922536484159
355,Congressman,0.00011630922536484159
356,fully,0.00011473747907612755
357,Watch,0.00011473747907612755
358,large,0.00011473747907612755
359,Heading,0.00011473747907612753
360,reporting,0.00011316573278741346
361,greatest,0.00011316573278741346
362,billions,0.00011316573278741346
363,immediately,0.00011316573278741346
364,2012,0.00011316573278741346
365,BreitbartNews,0.00011316573278741346
366,Midas,0.00011159398649869938
367,pay,0.00011159398649869938
368,build,0.00011159398649869937
369,Southern,0.00011002224020998532
370,nuclear,0.0001100222402099853
371,victory,0.0001100222402099853
372,700,0.00010845049392127124
373,Cuts,0.00010845049392127123
374,horrible,0.00010845049392127121
375,NY,0.00010687874763255716
376,politics,0.00010687874763255714
377,killing,0.00010530700134384309
378,nbc,0.00010530700134384309
379,charity,0.00010530700134384307
380,FLOTUS,0.00010530700134384307
381,Touch,0.00010530700134384307
382,rally,0.00010530700134384306
383,happen,0.00010373525505512902
384,lightweight,0.000103735255055129
385,JebBush,0.000103735255055129
386,correct,0.00010373525505512899
387,history,0.00010373525505512896
388,Dont,0.00010373525505512896
389,Letterman,0.00010216350876641493
390,Must,0.00010216350876641493
391,loves,0.00010216350876641492
392,dumb,0.00010216350876641492
393,unfair,0.00010216350876641492
394,AmericaFirst,0.00010216350876641492
395,sir,0.00010216350876641492
396,television,0.00010216350876641492
397,rate,0.0001021635087664149
398,Marco,0.0001021635087664149
399,won,0.0001021635087664149
400,Links,9.902001618898678e-05
401,businessman,9.902001618898678e-05
402,DONALD,9.902001618898678e-05
403,Universe,9.902001618898677e-05
404,apprentice,9.902001618898677e-05
405,long,9.744826990027274e-05
406,laws,9.744826990027271e-05
407,piersmorgan,9.74482699002727e-05
408,votes,9.74482699002727e-05
409,warming,9.74482699002727e-05
410,luxury,9.74482699002727e-05
411,budget,9.744826990027268e-05
412,My,9.587652361155868e-05
413,fight,9.587652361155865e-05
414,Veterans,9.587652361155863e-05
415,Billion,9.587652361155863e-05
416,corrupt,9.587652361155863e-05
417,ads,9.587652361155861e-05
418,Nancy,9.587652361155861e-05
419,Vegas,9.587652361155861e-05
420,waste,9.430477732284456e-05
421,decision,9.430477732284454e-05
422,save,9.430477732284454e-05
423,Pres,9.430477732284454e-05
424,Mark,9.430477732284454e-05
425,Borders,9.430477732284454e-05
